CloudletID,VMID,Type,PredictedTime,ActualTime,Error,Threshold,Energy
70,2,CPU,-1.00,49.01,0.0000,0.00400,4.9008
254,0,CPU,-1.00,28.86,0.0000,0.00400,2.8860
71,2,CPU,-1.00,49.68,0.0000,0.00400,4.9676
257,0,CPU,-1.00,45.62,0.0000,0.00400,4.5622
72,2,CPU,-1.00,28.47,0.0000,0.00400,2.8466
261,0,CPU,-1.00,35.96,0.0000,0.00400,3.5960
74,2,CPU,-1.00,55.87,0.0000,0.00400,5.5870
264,0,CPU,-1.00,49.78,0.0000,0.00400,4.9782
75,2,CPU,-1.00,57.01,0.0000,0.00400,5.7006
267,0,CPU,-1.00,47.86,0.0000,0.00400,4.7861
269,0,CPU,-1.00,49.55,0.0000,0.00400,4.9552
76,2,CPU,-1.00,57.12,0.0000,0.00400,5.7120
77,2,CPU,-1.00,30.36,0.0000,0.00400,3.0358
78,2,CPU,-1.00,4.00,0.0000,0.00400,0.3998
275,0,CPU,-1.00,49.49,0.0000,0.00400,4.9487
79,2,CPU,-1.00,19.37,0.0000,0.00400,1.9369
286,0,CPU,-1.00,43.53,0.0000,0.00400,4.3530
80,2,CPU,-1.00,50.80,0.0000,0.00400,5.0798
294,0,CPU,-1.00,18.67,0.0000,0.00400,1.8671
82,2,CPU,-1.00,25.87,0.0000,0.00400,2.5873
84,2,CPU,-1.00,49.36,0.0000,0.00400,4.9357
85,2,CPU,-1.00,5.01,0.0000,0.00400,0.5014
86,2,CPU,-1.00,42.63,0.0000,0.00400,4.2626
88,2,CPU,-1.00,36.78,0.0000,0.00400,3.6780
89,2,CPU,-1.00,19.21,0.0000,0.00400,1.9213
90,2,CPU,-1.00,38.12,0.0000,0.00400,3.8115
91,2,CPU,-1.00,3.86,0.0000,0.00400,0.3857
92,2,CPU,-1.00,2.20,0.0000,0.00400,0.2199
93,2,CPU,-1.00,45.96,0.0000,0.00400,4.5965
94,2,CPU,-1.00,4.07,0.0000,0.00400,0.4066
95,2,CPU,-1.00,0.35,0.0000,0.00400,0.0350
96,2,CPU,-1.00,39.48,0.0000,0.00400,3.9475
97,2,CPU,-1.00,47.19,0.0000,0.00400,4.7189
98,2,CPU,-1.00,48.48,0.0000,0.00400,4.8481
99,2,CPU,-1.00,34.96,0.0000,0.00400,3.4965
100,2,CPU,-1.00,19.71,0.0000,0.00400,1.9712
101,2,CPU,-1.00,1.87,0.0000,0.00400,0.1872
102,2,CPU,-1.00,54.31,0.0000,0.00400,5.4314
103,2,CPU,-1.00,62.17,0.0000,0.00400,6.2167
104,2,CPU,-1.00,0.39,0.0000,0.00400,0.0389
105,2,CPU,-1.00,35.91,0.0000,0.00400,3.5906
106,2,CPU,-1.00,54.25,0.0000,0.00400,5.4247
107,2,CPU,-1.00,5.02,0.0000,0.00400,0.5017
108,2,CPU,-1.00,60.71,0.0000,0.00400,6.0714
109,2,CPU,-1.00,26.67,0.0000,0.00400,2.6672
111,2,CPU,-1.00,55.24,0.0000,0.00400,5.5237
112,2,CPU,-1.00,57.34,0.0000,0.00400,5.7340
114,2,CPU,-1.00,1.73,0.0000,0.00400,0.1733
115,2,CPU,-1.00,35.41,0.0000,0.00400,3.5410
116,2,CPU,-1.00,28.45,0.0000,0.00400,2.8451
117,2,CPU,-1.00,31.95,0.0000,0.00400,3.1950
118,2,CPU,-1.00,19.69,0.0000,0.00400,1.9695
119,2,CPU,-1.00,52.06,0.0000,0.00400,5.2060
120,2,CPU,-1.00,20.59,0.0000,0.00400,2.0595
121,2,CPU,-1.00,54.69,0.0000,0.00400,5.4691
122,2,CPU,-1.00,33.46,0.0000,0.00400,3.3465
123,2,CPU,-1.00,1.53,0.0000,0.00400,0.1529
125,2,CPU,-1.00,5.71,0.0000,0.00400,0.5709
126,2,CPU,-1.00,8.77,0.0000,0.00400,0.8769
127,2,CPU,-1.00,12.41,0.0000,0.00400,1.2413
128,2,CPU,-1.00,20.90,0.0000,0.00400,2.0897
129,2,CPU,-1.00,2.46,0.0000,0.00400,0.2461
130,2,CPU,-1.00,36.43,0.0000,0.00400,3.6434
131,2,CPU,-1.00,31.47,0.0000,0.00400,3.1466
132,2,CPU,-1.00,44.67,0.0000,0.00400,4.4667
133,2,CPU,-1.00,12.52,0.0000,0.00400,1.2523
134,2,CPU,-1.00,8.45,0.0000,0.00400,0.8449
135,2,CPU,-1.00,44.01,0.0000,0.00400,4.4012
136,2,CPU,-1.00,3.04,0.0000,0.00400,0.3039
137,2,CPU,-1.00,44.97,0.0000,0.00400,4.4968
138,2,CPU,-1.00,11.48,0.0000,0.00400,1.1477
140,2,CPU,-1.00,28.36,0.0000,0.00400,2.8363
141,2,CPU,-1.00,1.67,0.0000,0.00400,0.1667
143,2,CPU,-1.00,50.13,0.0000,0.00400,5.0127
144,2,CPU,-1.00,32.69,0.0000,0.00400,3.2689
145,2,CPU,-1.00,48.94,0.0000,0.00400,4.8939
146,2,CPU,-1.00,3.97,0.0000,0.00400,0.3974
147,2,CPU,-1.00,23.75,0.0000,0.00400,2.3753
149,2,CPU,-1.00,30.28,0.0000,0.00400,3.0283
150,2,CPU,-1.00,55.87,0.0000,0.00400,5.5868
151,2,CPU,-1.00,32.10,0.0000,0.00400,3.2101
152,2,CPU,-1.00,49.22,0.0000,0.00400,4.9225
153,2,CPU,-1.00,26.94,0.0000,0.00400,2.6938
154,2,CPU,-1.00,61.56,0.0000,0.00400,6.1559
155,2,CPU,-1.00,1.40,0.0000,0.00400,0.1400
157,2,CPU,-1.00,58.83,0.0000,0.00400,5.8830
158,2,CPU,-1.00,8.42,0.0000,0.00400,0.8425
159,2,CPU,-1.00,12.47,0.0000,0.00400,1.2474
160,2,CPU,-1.00,16.81,0.0000,0.00400,1.6806
161,2,CPU,-1.00,44.49,0.0000,0.00400,4.4488
162,2,CPU,-1.00,22.72,0.0000,0.00400,2.2724
163,2,CPU,-1.00,50.94,0.0000,0.00400,5.0939
164,2,CPU,-1.00,18.01,0.0000,0.00400,1.8010
165,2,CPU,-1.00,46.79,0.0000,0.00400,4.6790
166,2,CPU,-1.00,20.34,0.0000,0.00400,2.0337
167,2,CPU,-1.00,56.65,0.0000,0.00400,5.6648
168,2,CPU,-1.00,7.15,0.0000,0.00400,0.7149
169,2,CPU,-1.00,36.30,0.0000,0.00400,3.6303
171,2,CPU,-1.00,25.90,0.0000,0.00400,2.5898
172,2,CPU,-1.00,7.73,0.0000,0.00400,0.7733
173,2,CPU,-1.00,27.50,0.0000,0.00400,2.7498
174,2,CPU,-1.00,38.38,0.0000,0.00400,3.8382
175,2,CPU,-1.00,38.10,0.0000,0.00400,3.8099
176,2,CPU,-1.00,5.31,0.0000,0.00400,0.5306
177,2,CPU,-1.00,37.32,0.0000,0.00400,3.7319
178,2,CPU,-1.00,9.88,0.0000,0.00400,0.9881
179,2,CPU,-1.00,9.06,0.0000,0.00400,0.9059
180,2,CPU,-1.00,43.85,0.0000,0.00400,4.3849
181,2,CPU,-1.00,3.67,0.0000,0.00400,0.3668
182,2,CPU,-1.00,13.75,0.0000,0.00400,1.3748
183,2,CPU,-1.00,4.18,0.0000,0.00400,0.4184
184,2,CPU,-1.00,13.97,0.0000,0.00400,1.3967
185,2,CPU,-1.00,18.52,0.0000,0.00400,1.8517
186,2,CPU,-1.00,48.09,0.0000,0.00400,4.8087
187,2,CPU,-1.00,12.60,0.0000,0.00400,1.2597
188,2,CPU,-1.00,24.27,0.0000,0.00400,2.4270
189,2,CPU,-1.00,9.54,0.0000,0.00400,0.9544
190,2,CPU,-1.00,24.09,0.0000,0.00400,2.4091
192,2,CPU,-1.00,58.04,0.0000,0.00400,5.8042
193,2,CPU,-1.00,12.55,0.0000,0.00400,1.2549
194,2,CPU,-1.00,46.49,0.0000,0.00400,4.6491
196,2,CPU,-1.00,43.90,0.0000,0.00400,4.3901
198,2,CPU,-1.00,43.30,0.0000,0.00400,4.3295
199,2,CPU,-1.00,12.17,0.0000,0.00400,1.2171
200,2,CPU,-1.00,18.44,0.0000,0.00400,1.8438
201,2,CPU,-1.00,15.30,0.0000,0.00400,1.5299
202,2,CPU,-1.00,29.48,0.0000,0.00400,2.9477
204,2,CPU,-1.00,14.09,0.0000,0.00400,1.4085
205,2,CPU,-1.00,43.96,0.0000,0.00400,4.3962
206,2,CPU,-1.00,38.69,0.0000,0.00400,3.8694
207,2,CPU,-1.00,15.12,0.0000,0.00400,1.5118
208,2,CPU,-1.00,20.90,0.0000,0.00400,2.0903
209,2,CPU,-1.00,14.28,0.0000,0.00400,1.4280
210,2,CPU,-1.00,60.44,0.0000,0.00400,6.0438
211,2,CPU,-1.00,55.34,0.0000,0.00400,5.5343
212,2,CPU,-1.00,20.74,0.0000,0.00400,2.0738
213,2,CPU,-1.00,9.19,0.0000,0.00400,0.9194
214,2,CPU,-1.00,30.54,0.0000,0.00400,3.0536
215,2,CPU,-1.00,53.28,0.0000,0.00400,5.3282
216,2,CPU,-1.00,47.46,0.0000,0.00400,4.7456
217,2,CPU,-1.00,22.52,0.0000,0.00400,2.2521
218,2,CPU,-1.00,19.24,0.0000,0.00400,1.9241
220,2,CPU,-1.00,41.69,0.0000,0.00400,4.1688
221,2,CPU,-1.00,26.29,0.0000,0.00400,2.6290
222,2,CPU,-1.00,37.33,0.0000,0.00400,3.7326
225,2,CPU,-1.00,62.01,0.0000,0.00400,6.2010
226,2,CPU,-1.00,21.92,0.0000,0.00400,2.1920
227,2,CPU,-1.00,0.98,0.0000,0.00400,0.0979
229,2,CPU,-1.00,46.55,0.0000,0.00400,4.6550
231,2,CPU,-1.00,59.90,0.0000,0.00400,5.9900
232,2,CPU,-1.00,4.63,0.0000,0.00400,0.4627
233,2,CPU,-1.00,25.59,0.0000,0.00400,2.5587
234,2,CPU,-1.00,13.99,0.0000,0.00400,1.3988
235,2,CPU,-1.00,53.17,0.0000,0.00400,5.3166
236,2,CPU,-1.00,32.06,0.0000,0.00400,3.2061
237,2,CPU,-1.00,49.38,0.0000,0.00400,4.9382
239,2,CPU,-1.00,15.16,0.0000,0.00400,1.5160
240,2,CPU,-1.00,9.00,0.0000,0.00400,0.8998
242,2,CPU,-1.00,58.25,0.0000,0.00400,5.8252
243,2,CPU,-1.00,20.93,0.0000,0.00400,2.0934
244,2,CPU,-1.00,42.37,0.0000,0.00400,4.2366
245,2,CPU,-1.00,48.03,0.0000,0.00400,4.8033
246,2,CPU,-1.00,5.51,0.0000,0.00400,0.5511
247,2,CPU,-1.00,40.67,0.0000,0.00400,4.0666
248,2,CPU,-1.00,23.40,0.0000,0.00400,2.3400
249,2,CPU,-1.00,12.55,0.0000,0.00400,1.2545
250,2,CPU,-1.00,16.46,0.0000,0.00400,1.6465
251,2,CPU,-1.00,30.21,0.0000,0.00400,3.0208
252,2,CPU,-1.00,6.00,0.0000,0.00400,0.5998
253,2,CPU,-1.00,38.52,0.0000,0.00400,3.8516
255,2,CPU,-1.00,56.71,0.0000,0.00400,5.6713
256,2,CPU,-1.00,44.18,0.0000,0.00400,4.4182
258,2,CPU,-1.00,30.03,0.0000,0.00400,3.0031
259,2,CPU,-1.00,5.36,0.0000,0.00400,0.5359
260,2,CPU,-1.00,5.53,0.0000,0.00400,0.5533
262,2,CPU,-1.00,17.91,0.0000,0.00400,1.7908
263,2,CPU,-1.00,43.62,0.0000,0.00400,4.3620
265,2,CPU,-1.00,39.70,0.0000,0.00400,3.9695
266,2,CPU,-1.00,9.33,0.0000,0.00400,0.9328
268,2,CPU,-1.00,37.03,0.0000,0.00400,3.7029
270,2,CPU,-1.00,24.67,0.0000,0.00400,2.4668
271,2,CPU,-1.00,2.91,0.0000,0.00400,0.2908
272,2,CPU,-1.00,1.99,0.0000,0.00400,0.1994
273,2,CPU,-1.00,48.60,0.0000,0.00400,4.8603
274,2,CPU,-1.00,2.98,0.0000,0.00400,0.2979
276,2,CPU,-1.00,20.87,0.0000,0.00400,2.0866
277,2,CPU,-1.00,14.50,0.0000,0.00400,1.4504
278,2,CPU,-1.00,12.72,0.0000,0.00400,1.2723
279,2,CPU,-1.00,57.06,0.0000,0.00400,5.7061
280,2,CPU,-1.00,27.70,0.0000,0.00400,2.7697
281,2,CPU,-1.00,22.89,0.0000,0.00400,2.2886
282,2,CPU,-1.00,13.25,0.0000,0.00400,1.3245
283,2,CPU,-1.00,30.64,0.0000,0.00400,3.0645
284,2,CPU,-1.00,61.09,0.0000,0.00400,6.1092
285,2,CPU,-1.00,60.74,0.0000,0.00400,6.0743
287,2,CPU,-1.00,2.80,0.0000,0.00400,0.2797
288,2,CPU,-1.00,7.97,0.0000,0.00400,0.7966
289,2,CPU,-1.00,19.61,0.0000,0.00400,1.9609
290,2,CPU,-1.00,47.97,0.0000,0.00400,4.7971
291,2,CPU,-1.00,15.96,0.0000,0.00400,1.5962
292,2,CPU,-1.00,3.93,0.0000,0.00400,0.3935
293,2,CPU,-1.00,39.09,0.0000,0.00400,3.9088
295,2,CPU,-1.00,7.01,0.0000,0.00400,0.7010
296,2,CPU,-1.00,26.97,0.0000,0.00400,2.6968
297,2,CPU,-1.00,29.02,0.0000,0.00400,2.9025
298,2,CPU,-1.00,16.13,0.0000,0.00400,1.6129
299,2,CPU,-1.00,52.08,0.0000,0.00400,5.2084
